step,obstacle_id,class_id,true_mode,sampled_modes,represented,scenario_count
0,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
1,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
2,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
3,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
4,0,0,turn_right,constant_velocity;turn_right,1,40
5,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
6,0,0,turn_left,constant_velocity;turn_left;turn_right,1,40
7,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
8,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
9,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
10,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
11,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
12,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
13,0,0,turn_left,constant_velocity;turn_left;turn_right,1,40
14,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
15,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
16,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
17,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
18,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
19,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
20,0,0,turn_left,constant_velocity;turn_left;turn_right,1,40
21,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
22,0,0,turn_left,constant_velocity;turn_left;turn_right,1,40
23,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
24,0,0,turn_left,constant_velocity;turn_left;turn_right,1,40
25,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
26,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
27,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
28,0,0,turn_left,constant_velocity;turn_left;turn_right,1,40
29,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
30,0,0,turn_left,constant_velocity;turn_left;turn_right,1,40
31,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
32,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
33,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
34,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
35,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
36,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
37,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
38,0,0,turn_left,constant_velocity;turn_left;turn_right,1,40
39,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
40,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
41,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
42,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
43,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
44,0,0,turn_left,constant_velocity;turn_left;turn_right,1,40
45,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
46,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
47,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
48,0,0,turn_left,constant_velocity;turn_left;turn_right,1,40
49,0,0,turn_left,constant_velocity;turn_left;turn_right,1,40
50,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
51,0,0,turn_left,constant_velocity;turn_left;turn_right,1,40
52,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
53,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
54,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
55,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
56,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
57,0,0,turn_right,constant_velocity;turn_left;turn_right,1,40
58,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
59,0,0,constant_velocity,constant_velocity;turn_left;turn_right,1,40
