step,support_evaluated,support_count,scenario_ids
0,1,2,6;7
1,1,3,10;14;19
2,1,4,0;10;12;14
3,1,6,1;7;8;13;14;17
4,1,6,1;2;4;8;9;11
5,1,4,10;13;16;18
6,1,2,0;19
7,1,2,9;13
8,1,3,0;18;19
9,1,4,6;8;11;18
10,1,2,4;19
11,1,2,9;10
12,1,2,11;17
13,1,2,16;18
14,1,3,6;9;13
15,1,0,
16,1,2,7;10
17,1,4,0;7;17;18
18,1,3,1;18;19
19,1,6,0;3;4;8;10;16
20,1,8,1;9;10;11;13;17;18;19
21,1,6,0;3;14;15;16;19
22,1,3,2;4;5
23,1,5,1;10;11;13;18
24,1,7,8;11;12;13;15;17;19
25,1,4,6;17;18;19
26,1,2,4;13
27,1,4,6;7;12;16
28,1,2,1;11
29,1,1,10
30,1,2,13;15
31,1,1,10
32,1,2,2;11
33,1,1,14
34,1,1,8
35,1,4,5;6;8;14
36,1,4,3;12;14;15
37,1,2,8;10
38,1,4,1;2;8;16
39,1,1,19
40,1,3,0;1;9
41,1,3,2;5;10
42,1,2,3;7
43,1,3,6;13;16
44,1,3,1;4;15
45,1,5,4;7;9;10;15
46,1,3,0;6;13
47,1,3,4;10;14
48,1,3,7;11;17
49,1,2,12;16
50,1,4,4;5;6;19
51,1,2,11;13
52,1,1,12
53,1,2,7;17
54,1,2,5;6
55,1,2,2;3
56,1,2,1;4
57,1,2,1;19
58,1,0,
59,1,1,11
60,1,0,
61,1,0,
62,1,0,
63,1,0,
64,1,0,
65,1,0,
66,1,0,
67,1,0,
68,1,0,
69,1,0,
70,1,0,
71,1,0,
72,1,0,
73,1,0,
74,1,0,
75,1,0,
76,1,0,
77,1,0,
78,1,0,
79,1,0,
80,1,0,
81,1,0,
82,1,0,
83,1,0,
84,1,0,
85,1,0,
86,1,0,
87,1,0,
88,1,0,
89,1,0,
90,1,0,
91,1,0,
92,1,0,
93,1,0,
94,1,0,
95,1,0,
96,1,0,
97,1,0,
98,1,0,
99,1,0,
100,1,0,
101,1,0,
102,1,0,
103,1,0,
104,1,0,
105,1,0,
106,1,0,
107,1,0,
108,1,0,
109,1,0,
110,1,0,
111,1,0,
112,1,0,
113,1,0,
114,1,0,
115,1,0,
116,1,0,
117,1,0,
118,1,0,
119,1,0,
120,1,0,
121,1,0,
122,1,0,
123,1,0,
124,1,0,
125,1,0,
126,1,0,
127,1,0,
128,1,0,
129,1,0,
130,1,0,
131,1,0,
132,1,0,
133,1,0,
134,1,0,
135,1,0,
136,1,0,
137,1,0,
138,1,0,
139,1,0,
140,1,0,
141,1,0,
142,1,0,
143,1,0,
144,1,0,
145,1,0,
146,1,0,
147,1,0,
148,1,0,
149,1,0,
150,1,0,
